pick_date,ticker,direction,score,entry_close,exit_date,exit_close,return_pct,spy_return_pct,beat_spy,no_call
2026-08-19,MRNY,LONG,30,41.7053,2026-08-26,35.28,-15.41,-0.4,False,False
2026-08-19,SKHY,LONG,40,156.16,2026-08-26,158.02,1.19,-0.4,True,False
2026-08-19,SNXX,WATCH,52,14.58,2026-08-26,13.12,-10.01,-0.4,,True
2026-08-19,SOXL,SHORT,40,120.74,2026-08-26,116.66,3.38,-0.4,True,False
2026-08-19,VRAX,LONG,53,3.18,2026-08-26,2.77,-12.89,-0.4,False,False
2026-08-19,WYFI,LONG,59,21.38,2026-08-26,20.0,-6.45,-0.4,False,False
2026-08-19,YJ,WATCH,25,4.25,2026-08-26,2.76,-35.06,-0.4,,True
2026-08-20,AAP,WATCH,41,42.39,2026-08-27,43.655,2.98,1.11,,True
2026-08-20,HUIZ,LONG,77,1.84,2026-08-27,1.71,-7.07,1.11,False,False
2026-08-20,IBIT,LONG,93,41.2,2026-08-27,45.29,9.93,1.11,True,False
2026-08-20,KORU,LONG,35,20.33,2026-08-27,21.44,5.46,1.11,True,False
2026-08-20,LOOP,LONG,83,0.645,2026-08-27,0.557,-13.64,1.11,False,False
2026-08-20,MRNA,WATCH,65,133.32,2026-08-27,142.77,7.09,1.11,,True
2026-08-20,MSTU,LONG,30,24.0727,2026-08-27,35.27,46.51,1.11,True,False
2026-08-20,SGLY,WATCH,44,3.44,2026-08-27,2.03,-40.99,1.11,,True
2026-08-20,SNXX,WATCH,40,15.14,2026-08-27,12.87,-14.99,1.11,,True
2026-08-20,WMT,WATCH,61,103.5928,2026-08-27,102.63,-0.93,1.11,,True
2026-08-21,BITX,LONG,35,17.18,2026-08-28,17.325,0.84,0.48,True,False
2026-08-21,CONL,LONG,30,6.25,2026-08-28,5.65,-9.6,0.48,False,False
2026-08-21,HOWL,LONG,88,0.8735,2026-08-28,0.9433,7.99,0.48,True,False
2026-08-21,IBIT,LONG,54,43.68,2026-08-28,43.9,0.5,0.48,True,False
2026-08-21,INTC,LONG,67,90.07,2026-08-28,89.47,-0.67,0.48,False,False
